ID do registro.,Ano de fundação,Categoria de Origem,Cidade,CNAE,CNPJ,Código postal,Data da última modificação,Data de criação,Endereço,Endereço 2,Equipe da HubSpot,Estado/Região,Faixa de Colaboradores,Faixa de Faturamento,Faixa de funcionários,Indústria,Instagram,Modelo De Mercado,Modelo De Negócios,Modelo De Receita,Nome da empresa,Nome de domínio da empresa,Nome Fantasia,Número de funcionários,Número de telefone,Página da empresa no LinkedIn,Página de empresa no Facebook,Página do Google Plus,Páginas da empresa no LinkedIn,País/Região,Palavras-chave da empresa,Porte Da Empresa,Proprietário da empresa,Qual a principal dor com mobilidade?,Razão Social,Receita anual,Receita total,Segmento da Empresa ,Setor,Subsegmento da Empresa ,Tecnologias da Web
25141311627,1989,Inbound,Serra,2221800,10.921.911/0001-05,,2024-10-25 12:54,2024-10-25 11:43,"Rua 7, 120, Civit II, Serra, ES, CEP: 29168-062",,Vendas,Espírito Santo,De 5.001 a 10.000 colaboradores ,Acima de R$ 1 bilhão,,Primário,fortlevbrasil,B2C,,,Fortlev,fortlev.com.br,Fortlev,5000.0,,,https://facebook.com/fortlevbrasil,,https://www.linkedin.com/company/fortlevbrasil,Brazil,,Grande,Stefanie Costa,,Fortlev Indústria e Comércio de Plásticos Ltda,1000000000,,Construção e Imobiliário,Materiais de construção,Construção,Microsoft Exchange Online; YouTube; Route 53; WordPress; Facebook Advertiser; Salesforce; Hotjar; Google Tag Manager; Mailgun; Microsoft Office 365; Google Analytics; Outlook
25086839109,1908,Outbound,Contagem,2341900,08.684.547/0001-65,1120,2024-10-24 09:42,2024-10-24 09:42,"Praça Louis Ensch, 240 - Cidade Industrial, Contagem - MG, 32.210",,Vendas,Minas Gerais,De 1.001 a 5.000 colaboradores ,Acima de R$ 1 bilhão,,Secundário, @rhimagnesita,B2B,,,RHI MAGNESITA,rhimagnesita.com,RHI MAGNESITA,3500.0, +43 50 213 6200,,,,https://www.linkedin.com/company/rhi-magnesita,Brasil,,Grande,Gabriel Barros,,MAGNESITA REFRATARIOS SA,10000000000,,Indústria e Manufatura,Materiais de construção,,Microsoft Exchange Online; Microsoft Dynamics; WordPress; RSA SecurID; Apache Cassandra; ASP.Net; Salesforce; Microsoft Teams; Java; Apache Tomcat; QuickBooks; Taleo; MySQL; FactSet; Microsoft Power BI; GitHub; Google AdWords; Sybase; Nginx; Joomla; ADP; SAP Warehouse Management; Oracle CRM; MicroStrategy; Oracle Fusion; IBM InfoSphere DataStage; Oracle Business Intelligence; SAP Sales Order Management; ServiceNow; Constant Contact; Google Analytics; Microsoft Project; Windows Server; HubSpot; Unix; Oracle Application Server; YouTube; IBM Lotus Notes; HP Servers; VMware Server; SAP HANA; Sugar CRM; SAP CRM; Apache Hadoop; DoubleClick Advertiser; Atlassian JIRA; Sharepoint; Microsoft Azure; Microsoft SQL Server; Zedo; Oracle WebLogic; Fatores de sucesso; SAP Human Capital Management; Google Maps; PostgreSQL; Oracle Cash and Treasury Management; IBM WebSphere; Oracle PeopleSoft; Recaptcha; SAP Business Objects; MongoDB; GoldMine; Red Hat; Oracle Data Integrator; SAP Crystal Reports; Toutapp; SAP Concur; Teradata; Apache Apex; Google Tag Manager; QlikView; Oracle Essbase; QRadar; Microsoft Office 365; Oracle Hyperion; Podio; DB2; IBM Lotus Domino; Fortinet; Ultipro; LinkedIn Advertiser; Kronos; IBM Cognos; Outlook; Informatica; Apache HTTP Server
25068960692,1987,Outbound,Cravinhos,2122000,57.624.462/0001-05,14140-000,2024-10-23 10:54,2024-10-23 10:54,"Rodovia Anhanguera Sp 330, Cravinhos - SP, 14.140-000.",,Vendas,São Paulo,De 1.001 a 5.000 colaboradores ,Acima de R$ 1 bilhão,,Secundário, @ourofinosaudeanimal,B2B,,,OUROFINO SAUDE ANIMAL,ourofinosaudeanimal.com,OURO FINO SAUDE ANIMAL,1400.0,,,https://facebook.com/ourofinosaudeanimal,,https://www.linkedin.com/company/ourofino-agronegocio,Brasil,,Grande,Gabriel Barros,,OURO FINO SAUDE ANIMAL LTDA,1000000000,,Saúde e Bem-Estar,Farmacêutica,,HP Servers; Route 53; Microsoft Dynamics; Hotjar; Google Tag Manager; SAP CRM; Facebook Advertiser; Oracle CRM; QlikView; Salesforce; SAP Sales Order Management; PostgreSQL; IBM WebSphere; Fortinet; Google Analytics; Microsoft Project; MySQL; IBM Cognos; Informatica
25068960166,1945,Outbound,Dois irmãos,2831300,23.972.590/0001-10,400018,2024-10-23 10:46,2024-10-23 10:46,"Rua 10 de Setembro, 1097 - Centro, Dois Irmaos - RS, 93.950-000",,Vendas,Rio Grande do Sul,De 1.001 a 5.000 colaboradores ,Acima de R$ 1 bilhão,,Secundário, @mahindrabr,B2B,,,MAHINDRA GROUP,mahindra.com,MAHINDRA DO BRASIL,1200.0, +91 22 2490 5624,,https://facebook.com/mahindrarise,,https://www.linkedin.com/company/mahindragroup,Brasil,,Grande,Gabriel Barros,,MAHINDRA DO BRASIL INDUSTRIAL LTDA,20000000000,,Indústria e Manufatura,Maquinário,,
25048837216,1979,Inbound,Sumaré,4724500,04.972.092/0001-22,13087-490,2024-10-24 16:01,2024-10-22 17:25,"Avenida Américo Ribeiro dos Santos, nº 3265, Parque Bandeirantes, Sumaré - SP, CEP 13171-160",,Vendas,São Paulo,De 1.001 a 5.000 colaboradores ,Acima de R$ 1 bilhão,,Primário,,B2C,,,Hortifruti Fartura,hortifrutifartura.com.br,Oba Hortifruti,5000.0,,,https://facebook.com/hortfartura,,https://www.linkedin.com/company/obahortifruti/,Brazil,,Grande,Stefanie Costa,,OBA Hortifruti Comércio e Importação Ltda,50000000,,Comércio e Varejo,Varejo,Serviços de alimentação e bebidas,Apache; WordPress; Video.js; Facebook Connect; Recaptcha; Facebook Like Button
24994267157,1938,Inbound,São Paulo,5229299,24.574.383/0001-70,,2024-10-22 11:58,2024-10-21 10:22,"Avenida Doutor Chucri Zaidan, 1240 - Vila São Francisco (Zona Sul), São Paulo - SP",,Vendas,Brasil,De 1.001 a 5.000 colaboradores ,Acima de R$ 1 bilhão,,Primário,samsung.sds,B2C,,,Samsung SDS,samsung.com,Samsung SDS,100000.0, +82 31-200-1114,,https://facebook.com/samsungusa,,https://www.linkedin.com/company/samsung-sds/,Brasil,,Grande,Stefanie Costa,,Samsung SDS Latin America Tecnologia e Logística Ltda,10000000000,,Tecnologia e Inovação,Tecnologia da informação e serviços,,
23944299842,1917,Inbound,Petrópolis,3316301,33.435.231/0001-87,45215,2024-10-25 09:19,2024-10-18 10:18,"Rua Alice Herve, 356 - Bingen, Petropolis - RJ.",,Vendas,Rio de Janeiro,De 1.001 a 5.000 colaboradores ,Acima de R$ 1 bilhão,,Secundário, @ge_aerospace,B2B,,,GE AEROSPACE,geaerospace.com,GE CELMA LTDA,4500.0, +1 513-552-3272,,https://facebook.com/ge,,https://www.linkedin.com/company/geaerospace,Brasil,,Grande,Gabriel Barros,,GE CELMA LTDA,2000000000,,Serviços Profissionais,Defesa e espaço,,YouTube; amCharts; New Relic; Drupal; Google Tag Manager; Recaptcha; Cloud Flare
23904951378,1962,Inbound,São Paulo,8211300,06.202.038/0001-23,70563,2024-10-17 16:17,2024-10-17 16:17,"Avenida das Nacoes Unidas, 22833 - Jurubatuba, Sao Paulo - SP, 04.696-005",,Vendas,São Paulo,De 1.001 a 5.000 colaboradores ,Acima de R$ 1 bilhão,,Terciário, @leadec_worldwide,B2B,,,LEADEC,leadec-services.com,LEADEC SERVICOS INDUSTRIAIS DO BRASIL LTDA,1800.0, +49 711 78410,,https://facebook.com/leadec-355087221508015,,https://www.linkedin.com/company/leadec,Brasil,,Grande,Gabriel Barros,,LEADEC SERVICOS INDUSTRIAIS DO BRASIL LTDA,1000000000,,Serviços Profissionais,Engenharia civil,,Amazon Simple Email Service; Microsoft Exchange Online; NetSuite CRM; Microsoft Dynamics; CyberArk; WordPress; ASP.Net; Salesforce; Modo; Apache; Paychex; QuickBooks; MySQL; Microsoft Power BI; Nginx; Ubuntu; ADP; Sage 50cloud; Information Builders; Basecamp; Microsoft Project; Windows Server; Unix; YouTube; VMware Server; SAP HANA; SAP CRM; Atlassian JIRA; Sharepoint; Microsoft Azure; Microsoft SQL Server; SAP Human Capital Management; Oracle PeopleSoft; SAP Business Objects; Amazon Web Services; MongoDB; Oracle Data Integrator; SAP Crystal Reports; SAP Concur; Google Tag Manager; RabbitMQ; NetSuite; Oracle Essbase; Tableau; Microsoft Office 365; Google Remarketing; DB2; Fortinet; IBM Cognos; Outlook; Informatica
23903952900,1966,Inbound,Tamboré,5211701,60.526.977/0001-79,88316-003,2024-10-21 10:40,2024-10-17 09:35,"Avenida Tambore, 1440 - Tambore, Barueri - SP, 06.460-000",,Vendas,São Paulo,De 1.001 a 5.000 colaboradores ,Acima de R$ 1 bilhão,,Secundário, @multilogbrasil,B2B,,,MULTILOG,multilog.com.br,MULTILOG,2280.0,,,,,https://www.linkedin.com/company/multilog,Brasil,,Grande,Gabriel Barros,,MULTILOG BRASIL SA,1000000000,,Transporte e Logística,Logística e cadeia de suprimento,,Microsoft Exchange Online; Google Tag Manager; Salesforce; Microsoft Office 365; Google Analytics; Outlook
23846729049,1994,Outbound,São Paulo,8211300,60.561.719/0001-23,1077WW,2024-10-15 16:04,2024-10-15 16:04,"Avenida das Nacoes Unidas, 14171 - Vila Gertrudes, Sao Paulo - SP, 04.794-00",,Vendas,São Paulo,De 5.001 a 10.000 colaboradores ,Acima de R$ 1 bilhão,,Secundário, @akzonobel,B2B,,,AKZONOBEL,akzonobel.com,AKZO NOBEL LTDA,2282.0,,,https://facebook.com/akzonobel,,https://www.linkedin.com/company/akzonobel,Brasil,,Grande,Gabriel Barros,,AKZO NOBEL LTDA,1000000000,,Saúde e Bem-Estar,Produtos químicos,,App Nexus; Go Squared; Adobe Dynamic Tag Management; Google Tag Manager; Microsoft Office 365; MediaMath; Microsoft Exchange Online; Salesforce; Apache; Stripe; Dstillery; Fatores de sucesso
23845140919,2010,Outbound,São Paulo,7820500,15.054.550/0001-60,01003-001,2024-10-23 13:48,2024-10-15 14:53,"Avenida Paulista, 1374 - Bela Vista, Sao Paulo - SP",,Vendas,São Paulo,De 201 a 500 colaboradores  ,De R$ 30 milhões a R$ 50 milhões,,Terciário, @edcgroup_,B2B,,,EDC Group,edcgroup.com.br,EDC SERVICOS,250.0,,,https://facebook.com/edcgrupo,,https://www.linkedin.com/company/edcgrouprh,Brasil,,Grande,Gabriel Barros,,EDC SERVICOS TEMPORARIOS E GESTAO DE RECURSOS HUMANOS SA,50000000,,Serviços Profissionais,Recursos humanos,,YouTube; Amazon Simple Email Service; Apache; Facebook Connect; Recaptcha; Google Apps
23843849140,1966,Outbound,São Paulo,2121101,60.659.463/0029-92,05426-100,2024-10-25 16:15,2024-10-15 14:31,"Avenida Brigadeiro Faria Lima, 201 - Pinheiros, Sao Paulo - SP, 05.426-100",20º andar,Vendas,São Paulo,De 5.001 a 10.000 colaboradores ,Acima de R$ 1 bilhão,,Secundário, @ache.oficial,B2C,,,ACHÉ LABORATORIOS,ache.com.br,ACHE LABORATORIOS FARMACEUTICOS SA,6685.0, +55 800 701 6900,,,,https://www.linkedin.com/company/ache-laboratorios,Brazil,,Grande,Gabriel Barros,,ACHE LABORATORIOS FARMACEUTICOS SA,1000000000,,Saúde e Bem-Estar,Farmacêutica,Laboratório,Microsoft Exchange Online; WordPress; Instagram; Salesforce; Nginx; Google Analytics; Recaptcha; Hotjar; Microsoft Office 365; Outlook
23829436425,1951,Outbound,Fortaleza,4644301,07.224.991/0012-98,,2024-10-22 15:01,2024-10-14 16:57,"Rodovia Br-116, 3569 - Messejana, Fortaleza - CE, 60.842-395",,Vendas,Ceará,De 1.001 a 5.000 colaboradores ,Acima de R$ 1 bilhão,,Secundário, @nazariadistribuidora,B2B,,,NAZÁRIA DISTRIBUIDORA,nazaria.com.br,NAZARIA DISTRIBUIDORA DE PRODUTOS FARMACEUTICOS LTDA,1000.0,,,,,https://www.linkedin.com/company/nazariadistribuidora,Brasil,,Grande,Gabriel Barros,,NAZARIA DISTRIBUIDORA DE PRODUTOS FARMACEUTICOS LTDA,1000000000,,Transporte e Logística,Farmacêutica,,Google Tag Manager; Go Squared; Google Analytics
23829303181,1966,Outbound,Campinas,1733800,45.989.050/0001-81,29483,2024-10-24 08:04,2024-10-14 16:20,"Avenida Carlos Grimaldi, 1701 - Jardim Conceicao, Campinas - SP",suite 400,Vendas,São Paulo,De 1.001 a 5.000 colaboradores ,Acima de R$ 1 bilhão,,Primário, @westrockcompany,B2B,,,WESTROCK,smurfitwestrock.com,WESTROCK,1737.0, +1 770-448-2193,,https://facebook.com/westrockco,,https://www.linkedin.com/company/westrockbrasil/about/,Brasil,,Grande,Gabriel Barros,,WESTROCK CELULOSE PAPEL E EMBALAGENS LTDA,2000000000,,Indústria e Manufatura,Papel e produtos florestais,,
23825623324,1974,Outbound,São Paulo,4711302,06.057.223/0001-71,03445-050,2024-10-25 16:29,2024-10-14 14:45,"Avenida Aricanduva, 5555, São Paulo, SP 03527900, BR",,Vendas,São Paulo,Acima de 10.000 colaboradores,Acima de R$ 1 bilhão,,Terciário, @assaiatacadistaoficial,B2C,,,ASSAI ATACADISTA,assai.com.br,ASSAI ATACADISTA,50000.0, +55 11 3411-5042,,https://facebook.com/assaiatacadistaoficial,,https://www.linkedin.com/company/assaiatacadista,Brazil,,Grande,Gabriel Barros,,SENDAS DISTRIBUIDORA SA,50000000000,,Comércio e Varejo,Supermercados,,Microsoft Exchange Online; Route 53; WordPress; ASP.Net; Salesforce; Microsoft Teams; Java; Apache Tomcat; QuickBooks; Cloud Flare; MySQL; GitHub; Google AdWords; Nginx; Ubuntu; Add To Any; Joomla; ADP; Oracle CRM; MicroStrategy; Drupal; Google Analytics; Microsoft Project; Windows Server; Unix; CentOS; YouTube; VMware Server; SAP CRM; DoubleClick Advertiser; Atlassian JIRA; Sharepoint; Microsoft Azure; Microsoft SQL Server; Oracle WebLogic; SAP Human Capital Management; Google Maps; PostgreSQL; Oracle PeopleSoft; Recaptcha; Amazon Web Services; GoToMeeting; Red Hat; Oracle Data Integrator; Google Tag Manager; GoldenGate; QlikView; Tableau; Microsoft Office 365; Vimeo; Oracle Hyperion; DB2; Fortinet; Outlook; Informatica
23825614126,1937,Outbound,São Paulo,4744005,61.056.550/0001-38,02675-031,2024-10-14 17:22,2024-10-14 12:10,"Avenida Doutor Chucri Zaidan, 1240, Vila Cordeiro, São Paulo, SP.",1 Andar,Vendas,São Paulo,Acima de 10.000 colaboradores,Acima de R$ 1 bilhão,,Primário,saintgobainbrasil,B2C,,,Saint-Gobain Brasil,saint-gobain.com.br,Saint-Gobain,5000.0,(11) 2246-7600,,https://facebook.com/saintgobainbrasil,,https://www.linkedin.com/company/saint-gobain-brasil,Brazil,,Grande,Stefanie Costa,,Saint-Gobain Distribuição Brasil Ltda.,10000000000,,Comércio e Varejo,Materiais de construção,Comércio atacadista de materiais de construção em geral,YouTube; New Relic; Salesforce; Recaptcha; Nginx; Google Tag Manager; Add To Any; Drupal; Google Analytics
23793643683,1938,Outbound,Joinville,2451200,84.683.374/0001-49,,2024-10-14 17:22,2024-10-14 11:37,"Rua Albano Schmidt, 3400, Boa Vista, Joinville - SC, Brasil",,Vendas,Santa Catarina,Acima de 10.000 colaboradores,Acima de R$ 1 bilhão,,Primário,,B2C,,,Tupy,tupy.com.br,Tupy,10000.0, 47 4009 8181,,,,https://www.linkedin.com/company/tupy,Brazil,,Grande,Stefanie Costa,,Tupy S.A.,10000000000,,Indústria e Manufatura,Mineração e metais,Indústrias de transformação,Microsoft Exchange Online; WordPress; Salesforce; Nginx; Fatores de sucesso; Google Maps; Google Tag Manager; Microsoft Office 365; Outlook
