ID da Empresa,Categoria de Stakeholder,Nome da Empresa,Proprietário da Empresa,Equipe Proprietária da Empresa,Data da Criação,Data da Última Atualização,Ano de Fundação,CNPJ,Razão Social,Endereço,Telefone,Site,LinkedIn,Instagram,Modelo de Mercado,Setor,Indústria,Segmento,Modelo de Negócio,Modelo de Receita,CNAE,Estágio de escala,Porte da Empresa,Número de Funcionários,Faturamento Anual,Número de CNPJs vinculados
00000001,,Escala.Ai,Alexandre Bazzi,Vendas,09/04/2024,09/04/2024,2020,59.795.788/0001-12,Escala.ai Sistemas de Inteligencia de Negocios LTDA,"R. José Maria Lisboa, 480 - Jardim Paulista, São Paulo - SP, 01423-000",,https://www.escala.ai/,https://www.linkedin.com/in/bazzi/,https://www.instagram.com/ale.bazzii/,B2B,Primário,Serviços Profissionais,Consultoria,,,,,Micro,6-10,R$4.800.000 - R$300.000.000,1
00000002,,Supermercado União,Rafael Giacomini,Marketing,09/04/2024,09/04/2024,2010,59.795.788/0001-12,Supermercado União LTDA,"R. José Maria Lisboa, 420 - Jardim Paulista, São Paulo - SP, 01423-001",,www.supermercadounião.com.br,https://www.linkedin.com/in/supermercado-união,https://www.instagram.com/supermercado-união,B2C,Secundário,Automotiva,Veículos Elétricos,,,,,Média,6-10,R$360.000 - R$4.800.000,1
00000003,,Grama Verde,Luiza Aduan,Pessoas,09/04/2024,09/04/2024,1990,59.795.788/0001-12,Grama Verde LTDA,"R. José Maria Lisboa, 380 - Jardim Paulista, São Paulo - SP, 01423-002",,www.gramaverde.com.br,https://www.linkedin.com/in/grama-verde,https://www.instagram.com/grama-verde,B2B,Terciário,Tecnologia e Eletrônicos,Semicondutores,,,,,Grande,101-500,R$4.800.000 - R$300.000.000,2
00000004,,Quadro,Vinícius Freitas,Operações,09/04/2024,09/04/2024,1980,59.795.788/0001-12,Quadro S/A,"R. José Maria Lisboa, 580 - Jardim Paulista, São Paulo - SP, 01423-003",,www.quadro.com.br,https://www.linkedin.com/in/quadro,https://www.instagram.com/quadro,B2G,Secundário,Farmacêutica,Biotecnologia Médica,,,,,Pequena,101-500,R$300.000.000 - R$1.000.000.000,4
00000005,,Madeireira Vitória,Marcos André,Parcerias,09/04/2024,09/04/2024,2011,59.795.788/0001-12,Madeireira Vitória LTDA,"R. José Maria Lisboa, 480 - Jardim Paulista, São Paulo - SP, 01423-004",,www.madeireiravitória.com.br,https://www.linkedin.com/in/madeireira-vitória,https://www.instagram.com/madeireira-vitória,C2C,Terciário,Alimentos e Bebidas,Orgânicos e Naturais,,,,,Micro,101-500,R$4.800.000 - R$300.000.000,1
00000006,,Conforto Estofados,Felipe Vieira,Vendas,09/04/2024,09/04/2024,2012,59.795.788/0001-12,Conforto Estofados LTDA,"R. José Maria Lisboa, 480 - Jardim Paulista, São Paulo - SP, 01423-005",,www.confortoestofados.com.br,https://www.linkedin.com/in/conforto-estofados,https://www.instagram.com/conforto-estofados,B2B2C,Primário,A&B,Distribuição,,,,,Micro,101-500,R$360.000 - R$4.800.000,2
00000007,,LG Monitores,Alexandre Bazzi,Marketing,09/04/2024,09/04/2024,2020,59.795.788/0001-12,LG Monitores S/A,"R. José Maria Lisboa, 470 - Jardim Paulista, São Paulo - SP, 01423-006",,www.lgmonitores.com.br,https://www.linkedin.com/in/lg-monitores,https://www.instagram.com/lg-monitores,B2C,Secundário,Química,Agroquímicos,,,,,Média,6-10,R$4.800.000 - R$300.000.000,1
00000008,,DELL Computadores,Rafael Giacomini,Pessoas,09/04/2024,09/04/2024,2010,59.795.788/0001-12,DELL Computadores S/A,"R. José Maria Lisboa, 486 - Jardim Paulista, São Paulo - SP, 01423-007",,www.dellcomputadores.com.br,https://www.linkedin.com/in/dell-computadores,https://www.instagram.com/dell-computadores,B2B,Terciário,Energia,Energias Renováveis,,,,,Micro,6-10,R$300.000.000 - R$1.000.000.000,1
00000009,,Apple,Luiza Aduan,Vendas,09/04/2024,09/04/2024,1990,59.795.788/0001-12,Apple LTDA,"R. José Maria Lisboa, 320 - Jardim Paulista, São Paulo - SP, 01423-008",,www.apple.com.br,https://www.linkedin.com/in/apple,https://www.instagram.com/apple,B2G,Secundário,Construção,Construção Verde,,,,,Média,101-500,R$4.800.000 - R$300.000.000,2
00000010,,Samsung,Vinícius Freitas,Marketing,09/04/2024,09/04/2024,1980,59.795.788/0001-12,Samsung LTDA,"R. José Maria Lisboa, 100 - Jardim Paulista, São Paulo - SP, 01423-009",,www.samsung.com.br,https://www.linkedin.com/in/samsung,https://www.instagram.com/samsung,C2C,Primário,Aeronáutica,Aviação Comercial,,,,,Grande,101-500,R$360.000 - R$4.800.000,3
